temperature,stai_1,stai_2,stai_3,stai_4,stai_5,stai_6,stai_7,stai_8,stai_9,stai_10,stai_11,stai_12,stai_13,stai_14,stai_15,stai_16,stai_17,stai_18,stai_19,stai_20
0.6,2.939,2.802,2.412,2.739,2.528,2.698,2.547,2.629,2.605,2.657,2.578,2.72,2.652,2.66,2.564,2.699,2.634,2.69,2.6,2.678
0.75,2.969,2.848,2.416,2.77,2.588,2.714,2.598,2.638,2.65,2.675,2.63,2.728,2.696,2.659,2.633,2.719,2.658,2.718,2.697,2.721
0.9,2.952,2.842,2.49,2.729,2.661,2.711,2.654,2.642,2.69,2.674,2.669,2.751,2.719,2.68,2.692,2.73,2.728,2.728,2.731,2.728
