temperature,n,na_stai_1,out_range_stai_1,na_stai_2,out_range_stai_2,na_stai_3,out_range_stai_3,na_stai_4,out_range_stai_4,na_stai_5,out_range_stai_5,na_stai_6,out_range_stai_6,na_stai_7,out_range_stai_7,na_stai_8,out_range_stai_8,na_stai_9,out_range_stai_9,na_stai_10,out_range_stai_10,na_stai_11,out_range_stai_11,na_stai_12,out_range_stai_12,na_stai_13,out_range_stai_13,na_stai_14,out_range_stai_14,na_stai_15,out_range_stai_15,na_stai_16,out_range_stai_16,na_stai_17,out_range_stai_17,na_stai_18,out_range_stai_18,na_stai_19,out_range_stai_19,na_stai_20,out_range_stai_20
0.6,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
